fare_id,agency_id,service_type,stage_number,fare_amount,currency,effective_date,government_order,source_id,raw_file_id
FARE_MTC_DELUXE_SERVICES_S24,MTC,Deluxe Services,24,43.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_DELUXE_SERVICES_S25,MTC,Deluxe Services,25,45.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_DELUXE_SERVICES_S26,MTC,Deluxe Services,26,45.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_DELUXE_SERVICES_S27,MTC,Deluxe Services,27,47.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_DELUXE_SERVICES_S28,MTC,Deluxe Services,28,47.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_DELUXE_SERVICES_S29,MTC,Deluxe Services,29,49.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_DELUXE_SERVICES_S30,MTC,Deluxe Services,30,49.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S01,MTC,Small,1,7.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S02,MTC,Small,2,9.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S03,MTC,Small,3,10.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S04,MTC,Small,4,12.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S05,MTC,Small,5,13.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S06,MTC,Small,6,15.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S07,MTC,Small,7,16.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S08,MTC,Small,8,18.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S09,MTC,Small,9,19.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S10,MTC,Small,10,21.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S11,MTC,Small,11,22.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S12,MTC,Small,12,22.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S13,MTC,Small,13,24.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S14,MTC,Small,14,24.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S15,MTC,Small,15,25.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S16,MTC,Small,16,25.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S17,MTC,Small,17,27.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S18,MTC,Small,18,27.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S19,MTC,Small,19,28.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S20,MTC,Small,20,28.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S21,MTC,Small,21,30.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S22,MTC,Small,22,30.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S23,MTC,Small,23,31.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S24,MTC,Small,24,31.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S25,MTC,Small,25,33.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S26,MTC,Small,26,33.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S27,MTC,Small,27,34.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S28,MTC,Small,28,34.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S29,MTC,Small,29,35.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_SMALL_S30,MTC,Small,30,35.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_NIGHT_SERVICES_S01,MTC,Night services,1,11.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_NIGHT_SERVICES_S02,MTC,Night services,2,13.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_NIGHT_SERVICES_S03,MTC,Night services,3,15.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_NIGHT_SERVICES_S04,MTC,Night services,4,17.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_NIGHT_SERVICES_S05,MTC,Night services,5,19.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_NIGHT_SERVICES_S06,MTC,Night services,6,21.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_NIGHT_SERVICES_S07,MTC,Night services,7,23.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_NIGHT_SERVICES_S08,MTC,Night services,8,25.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_NIGHT_SERVICES_S09,MTC,Night services,9,27.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_NIGHT_SERVICES_S10,MTC,Night services,10,29.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_NIGHT_SERVICES_S11,MTC,Night services,11,31.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_NIGHT_SERVICES_S12,MTC,Night services,12,31.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
