hub_id,hub_name,priority_tier,member_entity_id,member_name,member_mode,paired_entity_id,paired_name,paired_mode,walking_distance_m,confidence,requires_review,verified,notes
HUB________________________________,சென்னை புறநகர் பேருந்து நிலையம்,TIER_1_CORE,OSM_RAIL_687175415,சென்னை புறநகர் பேருந்து நிலையம்,metro,OSM_BUS_10980207098,Koyambedu Mofussil Bus Terminal,bus,347.8,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 347.8m.
HUB________________________________,சென்னை புறநகர் பேருந்து நிலையம்,TIER_1_CORE,OSM_RAIL_687175415,சென்னை புறநகர் பேருந்து நிலையம்,metro,OSM_BUS_10980207099,Koyambedu Mofussil Bus Terminal,bus,336.6,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 336.6m.
HUB________________________________,சென்னை புறநகர் பேருந்து நிலையம்,TIER_1_CORE,OSM_RAIL_687175415,சென்னை புறநகர் பேருந்து நிலையம்,metro,OSM_BUS_10980207100,Koyambedu Mofussil Bus Terminal,bus,259.9,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 259.9m.
HUB________________________________,சென்னை புறநகர் பேருந்து நிலையம்,TIER_1_CORE,OSM_RAIL_9592492226,சென்னை புறநகர் பேருந்து நிலையம்,metro,OSM_BUS_5318548733,SRM Travels,bus,300.4,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 300.4m.
HUB________________________________,சென்னை புறநகர் பேருந்து நிலையம்,TIER_1_CORE,OSM_RAIL_9592492226,சென்னை புறநகர் பேருந்து நிலையம்,metro,OSM_BUS_10980207098,Koyambedu Mofussil Bus Terminal,bus,352.1,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 352.1m.
HUB________________________________,சென்னை புறநகர் பேருந்து நிலையம்,TIER_1_CORE,OSM_RAIL_9592492226,சென்னை புறநகர் பேருந்து நிலையம்,metro,OSM_BUS_10980207099,Koyambedu Mofussil Bus Terminal,bus,339.7,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 339.7m.
HUB________________________________,சென்னை புறநகர் பேருந்து நிலையம்,TIER_1_CORE,OSM_RAIL_9592492226,சென்னை புறநகர் பேருந்து நிலையம்,metro,OSM_BUS_10980207100,Koyambedu Mofussil Bus Terminal,bus,264.5,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 264.5m.
HUB_______________,திருவொற்றியூர்,TIER_1_CORE,OSM_RAIL_8477103055,திருவொற்றியூர்,metro,OSM_BUS_1391573897,Thirovttriyur MTC Terminus,bus,45.8,0.75,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 45.8m.
HUB_______________,திருவொற்றியூர்,TIER_1_CORE,OSM_RAIL_8477103055,திருவொற்றியூர்,metro,GTFS_STOP_5350,Thiruvottriyur Depot,bus,93.9,0.75,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 93.9m.
HUB_______________,திருவொற்றியூர்,TIER_1_CORE,OSM_RAIL_8477103055,திருவொற்றியூர்,metro,GTFS_STOP_10539,Thiruvottiyur Ajax Bus Depot,bus,45.8,0.75,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 45.8m.
HUB_______________,திருவொற்றியூர்,TIER_1_CORE,OSM_RAIL_8477103055,திருவொற்றியூர்,metro,GTFS_STOP_10540,Thiruvottiyur Ajax Bus Depot,bus,46.9,0.75,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 46.9m.
HUB_______________,திருவொற்றியூர்,TIER_1_CORE,OSM_RAIL_8477103097,திருவொற்றியூர்,metro,OSM_BUS_1391573897,Thirovttriyur MTC Terminus,bus,43.8,0.75,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 43.8m.
HUB_______________,திருவொற்றியூர்,TIER_1_CORE,OSM_RAIL_8477103097,திருவொற்றியூர்,metro,GTFS_STOP_5350,Thiruvottriyur Depot,bus,91.3,0.75,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 91.3m.
HUB_______________,திருவொற்றியூர்,TIER_1_CORE,OSM_RAIL_8477103097,திருவொற்றியூர்,metro,GTFS_STOP_10539,Thiruvottiyur Ajax Bus Depot,bus,43.4,0.75,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 43.4m.
HUB_______________,திருவொற்றியூர்,TIER_1_CORE,OSM_RAIL_8477103097,திருவொற்றியூர்,metro,GTFS_STOP_10540,Thiruvottiyur Ajax Bus Depot,bus,48.1,0.75,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 48.1m.
HUB_______________,திருவொற்றியூர்,TIER_1_CORE,OSM_RAIL_8477103055,திருவொற்றியூர்,metro,GTFS_STOP_7576,Thiruvottriyur Bus Terminus,bus,391.5,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 391.5m.
HUB_______________,திருவொற்றியூர்,TIER_1_CORE,OSM_RAIL_8477103097,திருவொற்றியூர்,metro,GTFS_STOP_7576,Thiruvottriyur Bus Terminus,bus,392.0,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 392.0m.
HUB____________________,புது வண்ணாரப்பேட்டை,TIER_1_CORE,OSM_RAIL_8430636817,புது வண்ணாரப்பேட்டை,metro,GTFS_STOP_5351,Tondairpet-1 Depot,bus,357.5,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 357.5m.
HUB____________________,புது வண்ணாரப்பேட்டை,TIER_1_CORE,OSM_RAIL_8430636817,புது வண்ணாரப்பேட்டை,metro,GTFS_STOP_5352,Tondairpet-2 Depot,bus,311.4,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 311.4m.
HUB____________________,புது வண்ணாரப்பேட்டை,TIER_1_CORE,OSM_RAIL_8430636817,புது வண்ணாரப்பேட்டை,metro,GTFS_STOP_10465,Tondiarpet Bus Depot,bus,303.4,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 303.4m.
HUB____________________,புது வண்ணாரப்பேட்டை,TIER_1_CORE,OSM_RAIL_8430636817,புது வண்ணாரப்பேட்டை,metro,GTFS_STOP_10461,Tondiarpet Bus Depot,bus,312.6,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 312.6m.
HUB____________________,புது வண்ணாரப்பேட்டை,TIER_1_CORE,OSM_RAIL_8477103083,புது வண்ணாரப்பேட்டை,metro,GTFS_STOP_5351,Tondairpet-1 Depot,bus,356.6,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 356.6m.
HUB____________________,புது வண்ணாரப்பேட்டை,TIER_1_CORE,OSM_RAIL_8477103083,புது வண்ணாரப்பேட்டை,metro,GTFS_STOP_5352,Tondairpet-2 Depot,bus,313.6,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 313.6m.
HUB____________________,புது வண்ணாரப்பேட்டை,TIER_1_CORE,OSM_RAIL_8477103083,புது வண்ணாரப்பேட்டை,metro,GTFS_STOP_10465,Tondiarpet Bus Depot,bus,303.3,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 303.3m.
