interchange_id,from_entity,from_name,to_entity,to_name,transfer_type,walking_distance_m,walking_time_min,confirmed,notes
INT_OSM_RAIL_422_OSM_RAIL_959,OSM_RAIL_4221752111,Saint Thomas Mount,OSM_RAIL_9592492217,பரங்கிமலை,walking_interchange,110.9,1.5,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_422_OSM_RAIL_959,OSM_RAIL_4221752111,Saint Thomas Mount,OSM_RAIL_9592492218,பரங்கிமலை,walking_interchange,114.1,1.5,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_488_OSM_RAIL_531,OSM_RAIL_4885083053,Tirusulam,OSM_RAIL_5319207344,சென்னை விமான நிலையம்,walking_interchange,177.9,2.4,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_488_OSM_RAIL_628,OSM_RAIL_4885083053,Tirusulam,OSM_RAIL_6285857240,சென்னை விமான நிலையம்,walking_interchange,181.5,2.4,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_488_OSM_RAIL_628,OSM_RAIL_4885083053,Tirusulam,OSM_RAIL_6285857241,Chennai International Airport,walking_interchange,176.7,2.4,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_488_GTFS_STOP_10,OSM_RAIL_4885083053,Tirusulam,GTFS_STOP_10971,Airport Metro,walking_interchange,224.6,3.0,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_531_OSM_BUS_2430,OSM_RAIL_5311755234,Thirumayilai,OSM_BUS_243060332,மைலாப்பூர்,walking_interchange,223.4,3.0,False,Multimodal candidate between suburban_rail and bus.
INT_OSM_RAIL_532_GTFS_STOP_53,OSM_RAIL_5321248424,சின்னமலை,GTFS_STOP_5346,Saidapet Depot,walking_interchange,111.9,1.5,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_532_GTFS_STOP_14,OSM_RAIL_5321248425,கிண்டி,GTFS_STOP_1461,Guindy Bus Terminus,walking_interchange,196.7,2.6,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_532_OSM_BUS_3061,OSM_RAIL_5321248890,CMBT,OSM_BUS_306104406,Puratchi Thalaivar Dr. M.G.R Bus Terminus,walking_interchange,123.9,1.7,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_532_OSM_BUS_1159,OSM_RAIL_5321248890,CMBT,OSM_BUS_11598619872,Bus to Mamallapuram,walking_interchange,103.2,1.4,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_532_GTFS_STOP_58,OSM_RAIL_5321248890,CMBT,GTFS_STOP_5822,M.G.R.Koyambedu Bus Terminus,walking_interchange,135.4,1.8,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_628_GTFS_STOP_53,OSM_RAIL_6285857245,சின்னமலை,GTFS_STOP_5346,Saidapet Depot,walking_interchange,118.6,1.6,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_628_GTFS_STOP_53,OSM_RAIL_6285857246,சின்னமலை,GTFS_STOP_5346,Saidapet Depot,walking_interchange,112.4,1.5,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_628_OSM_BUS_3264,OSM_RAIL_6285857247,கிண்டி,OSM_BUS_3264888779,Guindy Bus Stand,walking_interchange,248.3,3.3,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_628_GTFS_STOP_14,OSM_RAIL_6285857247,கிண்டி,GTFS_STOP_1461,Guindy Bus Terminus,walking_interchange,194.2,2.6,False,Multimodal candidate between metro and bus.
