normalized_route_id,source_id,source_route_id,agency,route_short_name,route_long_name,mode,route_type,status
GTFS_ROUTE_20321,CHENNAI_COMMUNITY_GTFS,20321,MTC,101X CT2,Thirumazhisai TO  M.G.R.Koyambedu,bus,3,operational
GTFS_ROUTE_20324,CHENNAI_COMMUNITY_GTFS,20324,MTC,101X CT3,Poonamallee Bus Terminus to  M.G.R.Koyambedu Bus Terminus,bus,3,operational
GTFS_ROUTE_20325,CHENNAI_COMMUNITY_GTFS,20325,MTC,101X CT4,M.G.R.Koyambedu TO  Vellavedu,bus,3,operational
GTFS_ROUTE_20329,CHENNAI_COMMUNITY_GTFS,20329,MTC,101X CT8,Thirumazhisai Bus Stand to  Poonamallee Bus Terminus,bus,3,operational
GTFS_ROUTE_20331,CHENNAI_COMMUNITY_GTFS,20331,MTC,147C CT1,Ambattur IETO  Metrological Department Sterling Road,bus,3,operational
GTFS_ROUTE_20332,CHENNAI_COMMUNITY_GTFS,20332,MTC,147C CT3,Sterling Road TO  Ambattur Industrial Estate,bus,3,operational
GTFS_ROUTE_20333,CHENNAI_COMMUNITY_GTFS,20333,MTC,14A,Vallalar Nagar BT TO M.G.R.Koyambedu Bus Terminus,bus,3,operational
GTFS_ROUTE_20334,CHENNAI_COMMUNITY_GTFS,20334,MTC,14A,M.G.R.Koyambedu Bus Terminus TO Vallalar Nagar BT,bus,3,operational
GTFS_ROUTE_20335,CHENNAI_COMMUNITY_GTFS,20335,MTC,154 CT4,Iyyapanthangal TO  Thiyagarayanagar,bus,3,operational
GTFS_ROUTE_20337,CHENNAI_COMMUNITY_GTFS,20337,MTC,48B CT5,Ayanavaram Depot  TO  Pudur,bus,3,operational
GTFS_ROUTE_20338,CHENNAI_COMMUNITY_GTFS,20338,MTC,49X,Poonamallee TO  Thiruvanmiyur Depot,bus,3,operational
GTFS_ROUTE_20339,CHENNAI_COMMUNITY_GTFS,20339,MTC,49X,Thiruvanmiyur TO  Poonamallee,bus,3,operational
GTFS_ROUTE_20342,CHENNAI_COMMUNITY_GTFS,20342,MTC,51 CT24,Thiyagarayanagar TO  Velachery,bus,3,operational
GTFS_ROUTE_20343,CHENNAI_COMMUNITY_GTFS,20343,MTC,51 CT29,Velachery TO  Thiyagarayanagar,bus,3,operational
GTFS_ROUTE_20344,CHENNAI_COMMUNITY_GTFS,20344,MTC,101 CT11,M.G.R.Koyambedu TO  Anna Nagar East,bus,3,operational
GTFS_ROUTE_16168,CHENNAI_COMMUNITY_GTFS,16168,MTC,20,Ayanavaram TO Villivakkam,bus,3,operational
GTFS_ROUTE_15095,CHENNAI_COMMUNITY_GTFS,15095,MTC,29E,Otteri TO Perambur B.T,bus,3,operational
GTFS_ROUTE_20345,CHENNAI_COMMUNITY_GTFS,20345,MTC,51 CT4,Ngo Colony TO  Velachery,bus,3,operational
GTFS_ROUTE_20346,CHENNAI_COMMUNITY_GTFS,20346,MTC,101 CT9,Anna Nagar East TO  M.G.R.Koyambedu,bus,3,operational
