entity_id,canonical_name,candidate_alias,candidate_type,language,source_if_any,requires_human_confirmation
OSM_BUS_996517630,Virugambakkam,விருகம்பாக்கம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_14127634037,Virugambakkam North,விருகம்பாக்கம் வடக்கு மெட்ரோ,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_14127634032,Virugambakkam South,விருகம்பாக்கம் தெற்கு மெட்ரோ,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_595714972,Elango Nagar,இளங்கோ நகர் பேருந்து நிறுத்தம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_14127634035,Saligramam,சாலிகிராமம் மெட்ரோ,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_1007625832,Vadapalani Junction,வடபழனி சந்திப்பு,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5319972798,Vadapalani,வடபழநி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_14127634038,Natesan Nagar,நடேசன் நகர் மெட்ரோ,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_14127634039,Koyambedu Market,கோயம்பேடு சந்தை மெட்ரோ,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5319972799,Arumbakkam,அரும்பாக்கம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_306104406,Puratchi Thalaivar Dr. M.G.R Bus Terminus,புரட்சித் தலைவர் டாக்டர். எம்.ஜி.ஆர். பேருந்து நிலையம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5321248890,CMBT,சென்னை புறநகர் பேருந்து நிலையம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5310778035,Annanur,அண்ணனூர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5310778034,Thirumullaivoyal,திருமுல்லைவாயில்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5310778033,Ambattur,அம்பத்தூர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5230370403,Mogappair West Bus Terminus,முகப்பேர் மேற்கு பேருந்து முனையம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5321248896,Koyambedu,கோயம்பேடு,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5227401703,Thirumangalam Metro,திருமங்கலம் மெட்ரோ பேருந்து நிறுத்தம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_304278622,Anna Nagar West,அண்ணா நகர் மேற்கு,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_2239237792,West Saidapet,மேற்கு சைதாப்பேட்டை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_303512414,சைதாப்பேட்டை பாலம்,சைதாப்பேட்டை பாலம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_306551393,சைதாப்பேட்டை பாலம்,சைதாப்பேட்டை பாலம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_2481259029,Saidapet,சைதாப்பேட்டை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3263010049,சைதாப்பேட்டை காவல் நிலையம்,சைதாப்பேட்டை காவல் நிலையம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3263015885,சைதாப்பேட்டை,சைதாப்பேட்டை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_6285857244,சைதாப்பேட்டை,சைதாப்பேட்டை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_4153840390,Oxford School,ஆக்ஸ்போர்டு பள்ளி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_4153840489,Srinivasa Theatre,சீனிவாச திரையரங்கு,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_4153840589,Srinivasa Theatre,சீனிவாச திரையரங்கு,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_4153840689,Oxford School,ஆக்ஸ்போர்டு பள்ளி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_6285857243,நந்தனம்,நந்தனம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_2481259006,Mambalam,மாம்பலம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3724408109,Thambiah Road,தம்பையா சாலை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_10308012376,Thyagaraya Nagar,தியாகராய நகர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_1334303173,Narayanasamy Thottam,நாராயணசாமி தோட்டம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5311755235,Mandaveli,மந்தைவெளி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_6285857242,தேனாம்பேட்டை,தேனாம்பேட்டை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_301736152,ஆழ்வார் பேட்டை,ஆழ்வார் பேட்டை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_7412932328,ஆழ்வார் பேட்டை,ஆழ்வார் பேட்டை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_4407799419,Globus,குளோபஸ்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_301736149,Alwarpet,ஆழ்வார் பேட்டை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_301736913,ஆழ்வார் பேட்டை,ஆழ்வார் பேட்டை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_418116045,ஆழ்வார் பேட்டை,ஆழ்வார் பேட்டை,official_tamil,ta,OSM_OVERPASS,False
